State,"Overall Homeless, 2020","Overall Homeless, 2019","Overall Homeless, 2018","Overall Homeless, 2017"
AK,1949.00,1907.00,2016.00,1845.00
AL,3351.00,3261.00,3434.00,3793.00
AR,2366.00,2717.00,2712.00,2467.00
AZ,10979.00,10007.00,9865.00,8947.00
CA,161548.00,151278.00,129972.00,131532.00
CO,9846.00,9619.00,10857.00,10940.00
CT,2905.00,3033.00,3976.00,3388.00
DC,6380.00,6521.00,6904.00,7473.00
DE,1165.00,921.00,1082.00,994.00
FL,27487.00,28328.00,31030.00,32190.00
GA,10234.00,10443.00,9499.00,10174.00
GU,790.00,875.00,854.00,852.00
HI,6458.00,6412.00,6530.00,7220.00
IA,2647.00,2315.00,2749.00,2756.00
ID,2315.00,2315.00,2012.00,2037.00
IL,10431.00,10199.00,10643.00,10798.00
IN,5625.00,5471.00,5258.00,5438.00
KS,2449.00,2381.00,2216.00,2287.00
KY,4011.00,4079.00,3688.00,4025.00
LA,3173.00,2941.00,3059.00,3305.00
MA,17975.00,18471.00,20068.00,17565.00
MD,6360.00,6561.00,7144.00,7247.00
ME,2097.00,2106.00,2516.00,2280.00
MI,8638.00,8575.00,8351.00,9051.00
MN,7940.00,7977.00,7243.00,7668.00
MO,6527.00,6179.00,5883.00,6037.00
MP,1207.00,1807.00,1044.00,672.00
MS,1107.00,1184.00,1352.00,1472.00
MT,1545.00,1357.00,1405.00,1529.00
NC,9280.00,9314.00,9268.00,8962.00
ND,541.00,557.00,542.00,1089.00
NE,2404.00,2365.00,2421.00,2501.00
NH,1675.00,1396.00,1450.00,1456.00
NJ,9662.00,8862.00,9398.00,8536.00
NM,3333.00,3241.00,2551.00,2482.00
NV,6900.00,7169.00,7544.00,7833.00
NY,91271.00,92091.00,91897.00,89503.00
OH,10655.00,10345.00,10249.00,10095.00
OK,3932.00,3944.00,3871.00,4199.00
OR,14655.00,15876.00,14476.00,13953.00
PA,13375.00,13199.00,13512.00,14138.00
PR,2451.00,2535.00,3182.00,3525.00
RI,1104.00,1055.00,1101.00,1180.00
SC,4287.00,4172.00,3933.00,3916.00
SD,1058.00,995.00,1159.00,943.00
TN,7256.00,7467.00,7883.00,8309.00
TX,27229.00,25848.00,25310.00,23548.00
UT,3131.00,2798.00,2876.00,2852.00
VA,5957.00,5783.00,5975.00,6067.00
VI,304.00,314.00,486.00,381.00
VT,1110.00,1089.00,1291.00,1225.00
WA,22923.00,21577.00,22304.00,21112.00
WI,4515.00,4538.00,4907.00,5027.00
WV,1341.00,1397.00,1243.00,1309.00
WY,612.00,548.00,639.00,873.00
,,,,
