State,"Overall Homeless, 2020"
AK,1949.00
AL,3351.00
AR,2366.00
AZ,10979.00
CA,161548.00
CO,9846.00
CT,2905.00
DC,6380.00
DE,1165.00
FL,27487.00
GA,10234.00
GU,790.00
HI,6458.00
IA,2647.00
ID,2315.00
IL,10431.00
IN,5625.00
KS,2449.00
KY,4011.00
LA,3173.00
MA,17975.00
MD,6360.00
ME,2097.00
MI,8638.00
MN,7940.00
MO,6527.00
MP,1207.00
MS,1107.00
MT,1545.00
NC,9280.00
ND,541.00
NE,2404.00
NH,1675.00
NJ,9662.00
NM,3333.00
NV,6900.00
NY,91271.00
OH,10655.00
OK,3932.00
OR,14655.00
PA,13375.00
PR,2451.00
RI,1104.00
SC,4287.00
SD,1058.00
TN,7256.00
TX,27229.00
UT,3131.00
VA,5957.00
VI,304.00
VT,1110.00
WA,22923.00
WI,4515.00
WV,1341.00
WY,612.00
